participantCode,participantEmail,sessionName,sessionOrder,taskType,taskVersion,trialNumber,stimulus,expectedResponse,actualResponse,correct,reactionTimeMs,summary_totalCorrect,summary_totalTrials,completedAt,summary_totalTaps,summary_durationSeconds,summary_accuracy,summary_meanReactionTimeMs,summary_demoCompleted,summary_sequence,summary_roundsCompleted,summary_totalCorrectSequences,summary_overallAccuracy,summary_conditionsCompleted
"CV-EC0AF5","participant2@test.com","Session 1","1","avlt","v1","1","Drum","Drum","Drum","true",,"12","15","2026-05-08T20:07:34.915Z",,,,,,,,,,
"CV-EC0AF5","participant2@test.com","Session 1","1","fingerTap","v1",,,,,,,,,"2026-05-08T20:22:24.359Z","125","30",,,,,,,,
"CV-EC0AF5","participant2@test.com","Session 1","1","nback","v1",,,,,,,,,"2026-05-08T20:22:41.600Z",,,"0.87","540",,,,,,
"CV-CD3F23","participant3@test.com","Session 1","1","avlt","v1",,,,,,,,,"2026-05-08T21:05:20.883Z",,,,,"true",,,,,
"CV-CD3F23","participant3@test.com","Session 1","1","avlt","v1",,,,,,,,,"2026-05-08T21:05:37.881Z",,,,,"true",,,,,
"CV-CD3F23","participant3@test.com","Session 1","1","avlt","v1",,,,,,,,,"2026-05-08T21:17:10.640Z",,,,,"true",,,,,
"CV-133C2A","participant4@test.com","Session 1","1","avlt","v1","1",,,"drum","true",,"3","15","2026-05-08T21:55:43.807Z",,,,,,,,,,
"CV-133C2A","participant4@test.com","Session 1","1","avlt","v1","2",,,"curtain","true",,"3","15","2026-05-08T21:55:43.807Z",,,,,,,,,,
"CV-133C2A","participant4@test.com","Session 1","1","avlt","v1","3",,,"desk","false",,"3","15","2026-05-08T21:55:43.807Z",,,,,,,,,,
"CV-133C2A","participant4@test.com","Session 1","1","avlt","v1","4",,,"coffee","true",,"3","15","2026-05-08T21:55:43.807Z",,,,,,,,,,
"CV-133C2A","participant4@test.com","Session 1","1","avlt","v1","1",,,"drum","true",,"3","15","2026-05-08T21:55:49.751Z",,,,,,,,,,
"CV-133C2A","participant4@test.com","Session 1","1","avlt","v1","2",,,"curtain","true",,"3","15","2026-05-08T21:55:49.751Z",,,,,,,,,,
"CV-133C2A","participant4@test.com","Session 1","1","avlt","v1","3",,,"desk","false",,"3","15","2026-05-08T21:55:49.751Z",,,,,,,,,,
"CV-133C2A","participant4@test.com","Session 1","1","avlt","v1","4",,,"coffee","true",,"3","15","2026-05-08T21:55:49.751Z",,,,,,,,,,
"CV-133C2A","participant4@test.com","Session 1","1","avlt","v1","1",,,"drum","true",,"3","15","2026-05-08T21:55:51.552Z",,,,,,,,,,
"CV-133C2A","participant4@test.com","Session 1","1","avlt","v1","2",,,"curtain","true",,"3","15","2026-05-08T21:55:51.552Z",,,,,,,,,,
"CV-133C2A","participant4@test.com","Session 1","1","avlt","v1","3",,,"desk","false",,"3","15","2026-05-08T21:55:51.552Z",,,,,,,,,,
"CV-133C2A","participant4@test.com","Session 1","1","avlt","v1","4",,,"coffee","true",,"3","15","2026-05-08T21:55:51.552Z",,,,,,,,,,
"CV-10BCA1","participant5@test.com","Session 1","1","avlt","v1","1",,,"bell","true",,"5","15","2026-05-08T22:03:02.971Z",,,,,,,,,,
"CV-10BCA1","participant5@test.com","Session 1","1","avlt","v1","2",,,"moon","true",,"5","15","2026-05-08T22:03:02.971Z",,,,,,,,,,
"CV-10BCA1","participant5@test.com","Session 1","1","avlt","v1","3",,,"parent","true",,"5","15","2026-05-08T22:03:02.971Z",,,,,,,,,,
"CV-10BCA1","participant5@test.com","Session 1","1","avlt","v1","4",,,"coffee","true",,"5","15","2026-05-08T22:03:02.971Z",,,,,,,,,,
"CV-10BCA1","participant5@test.com","Session 1","1","avlt","v1","5",,,"school","true",,"5","15","2026-05-08T22:03:02.971Z",,,,,,,,,,
"CV-10BCA1","participant5@test.com","Session 1","1","fingerTap","v1","1","41324","41324","4132441324413244132441324413244132","true",,,,"2026-05-08T22:24:07.620Z",,,,,,"41324","2","13","1",
